customer_id,loyalty_score,purchase_count,product_id,product_category
C4,5,1,['P37'],['gummy bears']
C13,8,1,['P29'],['easy peeler']
C19,6,2,"['P09', 'P09']","['toilet paper', 'toilet paper']"
C22,1,3,"['P34', 'P33', 'P31']","['raspberries', 'apples', 'lemon grass']"
C24,6,3,"['P02', 'P02', 'P07']","['kitchen roll', 'kitchen roll', 'cling film']"
C25,9,2,"['P60', 'P44']","['water', 'milk']"
C26,1,2,"['P52', 'P47']","['oats', 'whole chicken']"
C29,7,3,"['P30', 'P27', 'P23']","['mango', 'potatoes', 'cherries']"
C33,5,2,"['P28', 'P31']","['grapes', 'lemon grass']"
C35,7,2,"['P35', 'P36']","['carrot cake', 'salted caramel dark chocolate']"
C37,9,2,"['P16', 'P15']","[""men's belt"", 'jumper']"
C39,2,2,"['P62', 'P62']","['gin', 'gin']"
C40,4,1,['P28'],['grapes']
C43,10,3,"['P35', 'P36', 'P39']","['carrot cake', 'salted caramel dark chocolate', 'ice cream']"
C46,5,1,['P42'],['chicken']
C53,4,2,"['P23', 'P27']","['cherries', 'potatoes']"
C54,2,1,['P46'],['activated charcoal croissant']
C59,6,2,"['P64', 'P61']","['cigarettes', 'red wine']"
C64,10,3,"['P05', 'P01', 'P09']","['scented candles', 'detergent', 'toilet paper']"
C66,10,1,['P19'],"[""men's trainers""]"
C68,8,2,"['P32', 'P31']","['onions', 'lemon grass']"
C71,8,2,"['P36', 'P36']","['salted caramel dark chocolate', 'salted caramel dark chocolate']"
C72,5,1,['P19'],"[""men's trainers""]"
C73,2,1,['P55'],['lentil soup']
C74,5,2,"['P01', 'P07']","['detergent', 'cling film']"
C76,10,2,"['P50', 'P60']","['camembert', 'water']"
C84,1,3,"['P44', 'P50', 'P42']","['milk', 'camembert', 'chicken']"
C90,3,3,"['P01', 'P08', 'P04']","['detergent', 'aluminium foil', 'shower gel']"
C94,10,2,"['P40', 'P38']","['irn bru', 'kombucha']"
C100,8,2,"['P29', 'P28']","['easy peeler', 'grapes']"
C104,7,1,['P34'],['raspberries']
C106,5,1,['P64'],['cigarettes']
C113,5,3,"['P57', 'P49', 'P57']","['parmesan', 'smoked salmon', 'parmesan']"
C119,7,1,['P64'],['cigarettes']
C122,10,1,['P28'],['grapes']
C125,1,1,['P54'],['almond milk']
C127,4,1,['P34'],['raspberries']
C129,7,2,"['P03', 'P10']","['bin liners', 'kitchen knife']"
C135,2,3,"['P40', 'P39', 'P36']","['irn bru', 'ice cream', 'salted caramel dark chocolate']"
