customer_id,loyalty_score,purchase_count,product_id,product_category
C11,4,3,"['P34', 'P32', 'P34']","['raspberries', 'onions', 'raspberries']"
C15,6,1,['P24'],['scotch bonnets']
C28,3,2,"['P40', 'P35']","['irn bru', 'carrot cake']"
C32,3,2,"['P24', 'P31']","['scotch bonnets', 'lemon grass']"
C33,5,1,['P50'],['camembert']
C35,7,2,"['P27', 'P30']","['potatoes', 'mango']"
C48,4,2,"['P33', 'P29']","['apples', 'easy peeler']"
C54,2,2,"['P57', 'P45']","['parmesan', 'hummus']"
C58,6,1,['P34'],['raspberries']
C59,6,3,"['P61', 'P62', 'P63']","['red wine', 'gin', 'cognac']"
C66,10,3,"['P19', 'P14', 'P16']","[""men's trainers"", ""women's shoes"", ""men's belt""]"
C73,2,3,"['P54', 'P54', 'P54']","['almond milk', 'almond milk', 'almond milk']"
C74,5,3,"['P05', 'P06', 'P04']","['scented candles', 'fabric softener', 'shower gel']"
C77,9,1,['P44'],['milk']
C89,8,2,"['P39', 'P35']","['ice cream', 'carrot cake']"
C91,3,2,"['P08', 'P02']","['aluminium foil', 'kitchen roll']"
C101,2,2,"['P54', 'P43']","['almond milk', 'mince beef']"
C109,6,2,"['P62', 'P62']","['gin', 'gin']"
C110,3,1,['P43'],['mince beef']
C111,1,3,"['P63', 'P62', 'P64']","['cognac', 'gin', 'cigarettes']"
C119,7,3,"['P62', 'P61', 'P64']","['gin', 'red wine', 'cigarettes']"
C122,10,2,"['P44', 'P51']","['milk', 'pizza']"
