customer_id,loyalty_score,purchase_count,product_id,product_category
C3,8,3,P35,carrot cake
C3,8,3,P38,kombucha
C3,8,3,P39,ice cream
C6,10,2,P32,onions
C6,10,2,P29,easy peeler
C18,8,2,P16,men's belt
C18,8,2,P15,jumper
C19,6,2,P01,detergent
C19,6,2,P09,toilet paper
C21,5,2,P54,almond milk
C21,5,2,P44,milk
C22,1,3,P30,mango
C22,1,3,P33,apples
C22,1,3,P28,grapes
C26,1,3,P48,tuna
C26,1,3,P59,chicken stock
C26,1,3,P48,tuna
C46,5,1,P48,tuna
C48,4,1,P05,scented candles
C65,2,1,P12,ice pack
C69,7,1,P52,oats
C78,9,1,P33,apples
C79,1,3,P26,broccoli
C79,1,3,P34,raspberries
C79,1,3,P34,raspberries
C82,9,1,P24,scotch bonnets
C90,3,1,P20,women's blouse
C98,7,3,P21,women's red dress
C98,7,3,P16,men's belt
C98,7,3,P18,men's striped socks
C99,9,2,P59,chicken stock
C99,9,2,P56,greek yoghurt
C109,6,3,P49,smoked salmon
C109,6,3,P57,parmesan
C109,6,3,P46,activated charcoal croissant
C113,5,2,P56,greek yoghurt
C113,5,2,P54,almond milk
C117,10,2,P36,salted caramel dark chocolate
C117,10,2,P40,irn bru
C119,7,1,P61,red wine
C122,10,1,P59,chicken stock
