customer_id,loyalty_score,purchase_count,product_id,product_category
C23,10,2,"['P20', 'P16']","[""women's blouse"", ""men's belt""]"
C25,9,1,['P64'],['cigarettes']
C27,10,2,"['P13', 'P18']","[""men's dark green trousers"", ""men's striped socks""]"
C28,3,2,"['P40', 'P39']","['irn bru', 'ice cream']"
C29,7,1,['P29'],['easy peeler']
C32,3,1,['P41'],['steak']
C43,10,2,"['P54', 'P47']","['almond milk', 'whole chicken']"
C46,5,2,"['P48', 'P50']","['tuna', 'camembert']"
C54,2,3,"['P29', 'P27', 'P31']","['easy peeler', 'potatoes', 'lemon grass']"
C59,6,2,"['P36', 'P39']","['salted caramel dark chocolate', 'ice cream']"
C64,10,3,"['P24', 'P33', 'P29']","['scotch bonnets', 'apples', 'easy peeler']"
C65,2,1,['P05'],['scented candles']
C72,5,1,['P13'],"[""men's dark green trousers""]"
C76,10,3,"['P35', 'P36', 'P37']","['carrot cake', 'salted caramel dark chocolate', 'gummy bears']"
C78,9,3,"['P30', 'P24', 'P23']","['mango', 'scotch bonnets', 'cherries']"
C85,8,2,"['P41', 'P59']","['steak', 'chicken stock']"
C97,9,3,"['P63', 'P61', 'P61']","['cognac', 'red wine', 'red wine']"
C100,8,3,"['P22', 'P32', 'P31']","['avocado', 'onions', 'lemon grass']"
C109,6,1,['P61'],['red wine']
C115,1,1,['P39'],['ice cream']
C116,5,2,"['P05', 'P05']","['scented candles', 'scented candles']"
C119,7,1,['P62'],['gin']
C125,1,2,"['P08', 'P09']","['aluminium foil', 'toilet paper']"
C135,2,1,['P38'],['kombucha']
C137,9,3,"['P56', 'P45', 'P49']","['greek yoghurt', 'hummus', 'smoked salmon']"
