customer_id,loyalty_score,purchase_count,product_id,product_category
C2,4,1,['P40'],['irn bru']
C6,10,2,"['P50', 'P47']","['camembert', 'whole chicken']"
C9,8,2,"['P62', 'P62']","['gin', 'gin']"
C13,8,1,['P39'],['ice cream']
C18,8,3,"['P15', 'P20', 'P21']","['jumper', ""women's blouse"", ""women's red dress""]"
C19,6,1,['P05'],['scented candles']
C24,6,2,"['P22', 'P22']","['avocado', 'avocado']"
C29,7,1,['P27'],['potatoes']
C30,4,3,"['P12', 'P07', 'P04']","['ice pack', 'cling film', 'shower gel']"
C39,2,1,['P64'],['cigarettes']
C42,2,3,"['P30', 'P23', 'P25']","['mango', 'cherries', 'peppers']"
C47,2,3,"['P30', 'P31', 'P29']","['mango', 'lemon grass', 'easy peeler']"
C48,4,1,['P01'],['detergent']
C50,8,2,"['P63', 'P63']","['cognac', 'cognac']"
C51,3,3,"['P56', 'P43', 'P47']","['greek yoghurt', 'mince beef', 'whole chicken']"
C52,1,1,['P51'],['pizza']
C54,2,1,['P37'],['gummy bears']
C59,6,3,"['P62', 'P63', 'P64']","['gin', 'cognac', 'cigarettes']"
C65,2,1,['P02'],['kitchen roll']
C70,9,1,['P42'],['chicken']
C71,8,2,"['P43', 'P41']","['mince beef', 'steak']"
C76,10,2,"['P48', 'P58']","['tuna', 'coconut water']"
C81,7,1,['P10'],['kitchen knife']
C91,3,2,"['P10', 'P12']","['kitchen knife', 'ice pack']"
C100,8,1,['P22'],['avocado']
C101,2,2,"['P16', 'P16']","[""men's belt"", ""men's belt""]"
C106,5,1,['P56'],['greek yoghurt']
C112,3,1,['P31'],['lemon grass']
C116,5,3,"['P26', 'P25', 'P29']","['broccoli', 'peppers', 'easy peeler']"
C122,10,1,['P51'],['pizza']
C123,3,1,['P33'],['apples']
C125,1,2,"['P04', 'P02']","['shower gel', 'kitchen roll']"
C129,7,3,"['P02', 'P11', 'P12']","['kitchen roll', 'dishwasher tablets', 'ice pack']"
C136,10,1,['P06'],['fabric softener']
