customer_id,loyalty_score,purchase_count,product_id,product_category
C4,5,3,P35,carrot cake
C4,5,3,P40,irn bru
C4,5,3,P38,kombucha
C12,8,2,P22,avocado
C12,8,2,P25,peppers
C19,6,2,P03,bin liners
C19,6,2,P07,cling film
C21,5,2,P59,chicken stock
C21,5,2,P58,coconut water
C30,4,2,P12,ice pack
C30,4,2,P01,detergent
C31,9,3,P31,lemon grass
C31,9,3,P24,scotch bonnets
C31,9,3,P31,lemon grass
C40,4,3,P34,raspberries
C40,4,3,P28,grapes
C40,4,3,P22,avocado
C45,10,1,P25,peppers
C47,2,3,P22,avocado
C47,2,3,P33,apples
C47,2,3,P32,onions
C48,4,3,P25,peppers
C48,4,3,P29,easy peeler
C48,4,3,P27,potatoes
C70,9,2,P55,lentil soup
C70,9,2,P48,tuna
C72,5,3,P18,men's striped socks
C72,5,3,P19,men's trainers
C72,5,3,P21,women's red dress
C78,9,3,P36,salted caramel dark chocolate
C78,9,3,P40,irn bru
C78,9,3,P37,gummy bears
C82,9,2,P38,kombucha
C82,9,2,P39,ice cream
C95,7,2,P47,whole chicken
C95,7,2,P57,parmesan
C97,9,3,P28,grapes
C97,9,3,P33,apples
C97,9,3,P31,lemon grass
C119,7,3,P62,gin
C119,7,3,P61,red wine
C119,7,3,P64,cigarettes
C125,1,2,P12,ice pack
C125,1,2,P01,detergent
C135,2,3,P40,irn bru
C135,2,3,P37,gummy bears
C135,2,3,P40,irn bru
