customer_id,loyalty_score,purchase_count,product_id,product_category
C13,8,3,"['P27', 'P27', 'P31']","['potatoes', 'potatoes', 'lemon grass']"
C15,6,2,"['P29', 'P31']","['easy peeler', 'lemon grass']"
C22,1,2,"['P62', 'P62']","['gin', 'gin']"
C23,10,1,['P43'],['mince beef']
C26,1,1,['P52'],['oats']
C27,10,1,['P64'],['cigarettes']
C30,4,1,['P04'],['shower gel']
C32,3,2,"['P49', 'P57']","['smoked salmon', 'parmesan']"
C46,5,3,"['P48', 'P46', 'P60']","['tuna', 'activated charcoal croissant', 'water']"
C53,4,3,"['P37', 'P39', 'P38']","['gummy bears', 'ice cream', 'kombucha']"
C59,6,1,['P40'],['irn bru']
C60,10,2,"['P22', 'P33']","['avocado', 'apples']"
C66,10,3,"['P18', 'P21', 'P13']","[""men's striped socks"", ""women's red dress"", ""men's dark green trousers""]"
C69,7,3,"['P44', 'P50', 'P42']","['milk', 'camembert', 'chicken']"
C72,5,1,['P30'],['mango']
C87,3,3,"['P57', 'P49', 'P41']","['parmesan', 'smoked salmon', 'steak']"
C89,8,2,"['P63', 'P64']","['cognac', 'cigarettes']"
C101,2,3,"['P34', 'P29', 'P26']","['raspberries', 'easy peeler', 'broccoli']"
C102,1,3,"['P63', 'P63', 'P63']","['cognac', 'cognac', 'cognac']"
C104,7,2,"['P61', 'P62']","['red wine', 'gin']"
C109,6,3,"['P23', 'P24', 'P23']","['cherries', 'scotch bonnets', 'cherries']"
C116,5,1,['P48'],['tuna']
C117,10,1,['P47'],['whole chicken']
C129,7,2,"['P03', 'P08']","['bin liners', 'aluminium foil']"
