customer_id,loyalty_score,purchase_count,product_id,product_category
C1,7,3,P27,potatoes
C1,7,3,P33,apples
C1,7,3,P30,mango
C3,8,3,P36,salted caramel dark chocolate
C3,8,3,P40,irn bru
C3,8,3,P38,kombucha
C6,10,3,P30,mango
C6,10,3,P27,potatoes
C6,10,3,P28,grapes
C9,8,3,P64,cigarettes
C9,8,3,P62,gin
C9,8,3,P63,cognac
C22,1,2,P54,almond milk
C22,1,2,P55,lentil soup
C23,10,2,P15,jumper
C23,10,2,P16,men's belt
C25,9,3,P57,parmesan
C25,9,3,P54,almond milk
C25,9,3,P54,almond milk
C30,4,3,P11,dishwasher tablets
C30,4,3,P03,bin liners
C30,4,3,P09,toilet paper
C36,5,2,P53,peanut butter
C36,5,2,P59,chicken stock
C38,7,1,P32,onions
C40,4,3,P31,lemon grass
C40,4,3,P30,mango
C40,4,3,P32,onions
C42,2,3,P32,onions
C42,2,3,P34,raspberries
C42,2,3,P33,apples
C46,5,2,P52,oats
C46,5,2,P49,smoked salmon
C48,4,3,P37,gummy bears
C48,4,3,P37,gummy bears
C48,4,3,P37,gummy bears
C55,8,2,P39,ice cream
C55,8,2,P37,gummy bears
C67,4,1,P36,salted caramel dark chocolate
C69,7,1,P51,pizza
C70,9,2,P60,water
C70,9,2,P60,water
C99,9,3,P45,hummus
C99,9,3,P57,parmesan
C99,9,3,P41,steak
C106,5,3,P47,whole chicken
C106,5,3,P57,parmesan
C106,5,3,P52,oats
C130,7,1,P56,greek yoghurt
C132,7,2,P22,avocado
C132,7,2,P28,grapes
C135,2,1,P35,carrot cake
