customer_id,loyalty_score,purchase_count,product_id,product_category
C3,8,3,P07,cling film
C3,8,3,P05,scented candles
C3,8,3,P04,shower gel
C22,1,1,P33,apples
C32,3,1,P53,peanut butter
C47,2,3,P27,potatoes
C47,2,3,P29,easy peeler
C47,2,3,P23,cherries
C61,4,1,P63,cognac
C67,4,3,P38,kombucha
C67,4,3,P40,irn bru
C67,4,3,P40,irn bru
C71,8,1,P15,jumper
C74,5,3,P11,dishwasher tablets
C74,5,3,P08,aluminium foil
C74,5,3,P10,kitchen knife
C75,8,1,P63,cognac
C76,10,1,P64,cigarettes
C97,9,3,P64,cigarettes
C97,9,3,P63,cognac
C97,9,3,P62,gin
C103,7,1,P61,red wine
C116,5,2,P09,toilet paper
C116,5,2,P03,bin liners
C117,10,3,P54,almond milk
C117,10,3,P51,pizza
C117,10,3,P42,chicken
